Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
,12,203934.19,203278,100,120
,12,1153225,1153135,772564,150
,12,130521.82,129012,0,2467
,10,1312886.29,890484,6072623,210110
,6,237982,237982,44829,18564
,6,399636.62,374887,22893,9690
,12,241089,213320,149560,7654
,12,105226,100226,155320,2218
,8,327090.85,103600,1400,809
,12,799912.46,667308,927950,115860
,6,234377,234377,3480,0
,12,123058.46,118860,41856,8893
,6,2445039,2433739,1188700,135149
,12,924815.38,906693,100630,18610
,6,529697.3,513285,142899,7360
,12,221344.24,168830,600618,113877
,12,430211.33,250108,281200,7273
,12,1721109.75,1562838,121350,242040
,12,1721109.75,1562838,121350,242040
,11,1652840.19,1584400,1542859,30637
,6,192376.59,139056,0,312308
,6,444036.95,259758,4000,36115
,6,177803.07,165017,96419,90449
,12,131231.16,128069,32600,3023
,6,146809.87,111814,180790,0
,6,88767,58450,5600,515
,12,2162431.91,1719677,1040550,281355.6
,12,1586947.93,1533487,1082196,377000
,7,542523.82,496653,15090,14114
,12,56961.83,39478,94225,140840
,12,490712.25,411785,123589,566167.58
,6,42760.42,33324,12530,116690
,6,13941585.41,11721197,7915880,616098
,12,714530.87,702709,113630,162492
,11,1842462.89,1298011,1121501,249552
,12,1366713.28,1185321,103917,101246
recwly5Hso1qlIdOs,12,4892110.29,3919414,2738495,76110
,12,6669943,6331448,2409570,227852
,12,6669943,6331448,2409570,227852
,12,2538830,2547902,741660,50
,12,3665302.77,3054022,1233874,62526.5
,6,142645.08,139121,1060,20
,9,679179,660150,154490,1500
,12,145438.48,147496,77880,11774
,12,18630.74,17526,6000,2426
,12,512169.2,506053,22795,25661
,6,327155,327155,1731233,0
,6,89140,86500,250,2400
,6,599347.91,347623,892840,12350
,12,723662.85,695269,242910,13793
,12,1136364.52,1021928,159400,13200
,6,96154.23,81900,1400,4050
,6,572047.41,556673,4100,155274.75
,6,1722009.12,1433586,287990,296009.67
,10,777825.7,483740,1031199,2880
,10,777825.7,483740,1031199,2880
,12,777119.92,671234,3810,6580
